feature,importance,fold
OCCUPATION_TYPE_Managers,7,1
OCCUPATION_TYPE_Medicine_staff,17,1
OCCUPATION_TYPE_Private_service_staff,8,1
OCCUPATION_TYPE_Realty_agents,0,1
OCCUPATION_TYPE_Sales_staff,8,1
OCCUPATION_TYPE_Secretaries,0,1
OCCUPATION_TYPE_Security_staff,0,1
OCCUPATION_TYPE_Waiters_barmen_staff,1,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,5,1
WEEKDAY_APPR_PROCESS_START_MONDAY,18,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,17,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,2,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,13,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,15,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,7,1
ORGANIZATION_TYPE_Advertising,0,1
ORGANIZATION_TYPE_Agriculture,0,1
ORGANIZATION_TYPE_Bank,15,1
ORGANIZATION_TYPE_Business_Entity_Type_1,0,1
ORGANIZATION_TYPE_Business_Entity_Type_2,0,1
ORGANIZATION_TYPE_Business_Entity_Type_3,34,1
ORGANIZATION_TYPE_Cleaning,0,1
ORGANIZATION_TYPE_Construction,39,1
ORGANIZATION_TYPE_Culture,0,1
ORGANIZATION_TYPE_Electricity,0,1
ORGANIZATION_TYPE_Emergency,0,1
ORGANIZATION_TYPE_Government,18,1
ORGANIZATION_TYPE_Hotel,0,1
ORGANIZATION_TYPE_Housing,0,1
ORGANIZATION_TYPE_Industry_type_1,0,1
ORGANIZATION_TYPE_Industry_type_10,0,1
ORGANIZATION_TYPE_Industry_type_11,0,1
ORGANIZATION_TYPE_Industry_type_12,6,1
ORGANIZATION_TYPE_Industry_type_13,0,1
ORGANIZATION_TYPE_Industry_type_2,0,1
ORGANIZATION_TYPE_Industry_type_3,0,1
ORGANIZATION_TYPE_Industry_type_4,0,1
ORGANIZATION_TYPE_Industry_type_5,4,1
ORGANIZATION_TYPE_Industry_type_6,0,1
ORGANIZATION_TYPE_Industry_type_7,0,1
ORGANIZATION_TYPE_Industry_type_8,0,1
ORGANIZATION_TYPE_Industry_type_9,33,1
ORGANIZATION_TYPE_Insurance,0,1
ORGANIZATION_TYPE_Kindergarten,7,1
ORGANIZATION_TYPE_Legal_Services,21,1
ORGANIZATION_TYPE_Medicine,2,1
ORGANIZATION_TYPE_Military,40,1
ORGANIZATION_TYPE_Mobile,0,1
ORGANIZATION_TYPE_Other,7,1
ORGANIZATION_TYPE_Police,17,1
ORGANIZATION_TYPE_Postal,0,1
ORGANIZATION_TYPE_Realtor,25,1
ORGANIZATION_TYPE_Religion,0,1
ORGANIZATION_TYPE_Restaurant,0,1
ORGANIZATION_TYPE_School,31,1
ORGANIZATION_TYPE_Security,0,1
ORGANIZATION_TYPE_Security_Ministries,15,1
ORGANIZATION_TYPE_Self_employed,51,1
ORGANIZATION_TYPE_Services,0,1
ORGANIZATION_TYPE_Telecom,0,1
ORGANIZATION_TYPE_Trade_type_1,0,1
ORGANIZATION_TYPE_Trade_type_2,0,1
ORGANIZATION_TYPE_Trade_type_3,0,1
ORGANIZATION_TYPE_Trade_type_4,0,1
ORGANIZATION_TYPE_Trade_type_5,0,1
ORGANIZATION_TYPE_Trade_type_6,5,1
ORGANIZATION_TYPE_Trade_type_7,4,1
ORGANIZATION_TYPE_Transport_type_1,7,1
ORGANIZATION_TYPE_Transport_type_2,0,1
ORGANIZATION_TYPE_Transport_type_3,36,1
ORGANIZATION_TYPE_Transport_type_4,0,1
ORGANIZATION_TYPE_University,0,1
ORGANIZATION_TYPE_XNA,0,1
FONDKAPREMONT_MODE_not_specified,0,1
FONDKAPREMONT_MODE_org_spec_account,0,1
FONDKAPREMONT_MODE_reg_oper_account,2,1
FONDKAPREMONT_MODE_reg_oper_spec_account,23,1
HOUSETYPE_MODE_block_of_flats,0,1
HOUSETYPE_MODE_specific_housing,4,1
HOUSETYPE_MODE_terraced_house,0,1
WALLSMATERIAL_MODE_Block,0,1
WALLSMATERIAL_MODE_Mixed,0,1
WALLSMATERIAL_MODE_Monolithic,0,1
WALLSMATERIAL_MODE_Others,1,1
WALLSMATERIAL_MODE_Panel,5,1
WALLSMATERIAL_MODE_Stone_brick,26,1
WALLSMATERIAL_MODE_Wooden,0,1
EMERGENCYSTATE_MODE_No,0,1
EMERGENCYSTATE_MODE_Yes,1,1
DAYS_EMPLOYED_PERC,179,1
INCOME_CREDIT_PERC,132,1
INCOME_PER_PERSON,93,1
ANNUITY_INCOME_PERC,205,1
PAYMENT_RATE,575,1
BURO_DAYS_CREDIT_MIN,67,1
BURO_DAYS_CREDIT_MAX,120,1
BURO_DAYS_CREDIT_MEAN,90,1
BURO_DAYS_CREDIT_VAR,57,1
BURO_DAYS_CREDIT_ENDDATE_MIN,49,1
BURO_DAYS_CREDIT_ENDDATE_MAX,139,1
BURO_DAYS_CREDIT_ENDDATE_MEAN,94,1
BURO_DAYS_CREDIT_UPDATE_MEAN,84,1
BURO_CREDIT_DAY_OVERDUE_MAX,3,1
BURO_CREDIT_DAY_OVERDUE_MEAN,2,1
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,188,1
BURO_AMT_CREDIT_SUM_MAX,84,1
BURO_AMT_CREDIT_SUM_MEAN,116,1
BURO_AMT_CREDIT_SUM_SUM,100,1
BURO_AMT_CREDIT_SUM_DEBT_MAX,68,1
BURO_AMT_CREDIT_SUM_DEBT_MEAN,87,1
BURO_AMT_CREDIT_SUM_DEBT_SUM,52,1
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,43,1
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,62,1
BURO_AMT_CREDIT_SUM_LIMIT_SUM,41,1
BURO_AMT_ANNUITY_MAX,20,1
BURO_AMT_ANNUITY_MEAN,27,1
BURO_CNT_CREDIT_PROLONG_SUM,4,1
BURO_MONTHS_BALANCE_MIN_MIN,31,1
BURO_MONTHS_BALANCE_MAX_MAX,2,1
BURO_MONTHS_BALANCE_SIZE_MEAN,30,1
BURO_MONTHS_BALANCE_SIZE_SUM,38,1
BURO_STATUS_SCORE_MAX_MAX,9,1
BURO_STATUS_SCORE_MAX_MEAN,10,1
BURO_STATUS_SCORE_MEAN_MEAN,24,1
BURO_STATUS_SCORE_RECENT6_MEAN_MEAN,3,1
BURO_STATUS_SCORE_TREND_MEAN,21,1
BURO_STATUS_SCORE_TREND_MAX,8,1
BURO_DAYS_ENDDATE_FACT_MEAN,49,1
BURO_CREDIT_ACTIVE_Active_MEAN,79,1
BURO_CREDIT_ACTIVE_Bad_debt_MEAN,0,1
BURO_CREDIT_ACTIVE_Closed_MEAN,49,1
