feature,importance,fold
PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,13,1
PREV_NAME_GOODS_CATEGORY_Medical_Supplies_MEAN,2,1
PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,33,1
PREV_NAME_GOODS_CATEGORY_Office_Appliances_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Other_MEAN,1,1
PREV_NAME_GOODS_CATEGORY_Photo_Cinema_Equipment_MEAN,19,1
PREV_NAME_GOODS_CATEGORY_Sport_and_Leisure_MEAN,32,1
PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,6,1
PREV_NAME_GOODS_CATEGORY_Weapon_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,12,1
PREV_NAME_GOODS_CATEGORY_nan_MEAN,0,1
PREV_NAME_PORTFOLIO_Cards_MEAN,9,1
PREV_NAME_PORTFOLIO_Cars_MEAN,0,1
PREV_NAME_PORTFOLIO_Cash_MEAN,46,1
PREV_NAME_PORTFOLIO_POS_MEAN,24,1
PREV_NAME_PORTFOLIO_XNA_MEAN,26,1
PREV_NAME_PORTFOLIO_nan_MEAN,0,1
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,34,1
PREV_NAME_PRODUCT_TYPE_walk_in_MEAN,43,1
PREV_NAME_PRODUCT_TYPE_x_sell_MEAN,31,1
PREV_NAME_PRODUCT_TYPE_nan_MEAN,0,1
PREV_CHANNEL_TYPE_AP_Cash_loan__MEAN,23,1
PREV_CHANNEL_TYPE_Car_dealer_MEAN,0,1
PREV_CHANNEL_TYPE_Channel_of_corporate_sales_MEAN,25,1
PREV_CHANNEL_TYPE_Contact_center_MEAN,27,1
PREV_CHANNEL_TYPE_Country_wide_MEAN,34,1
PREV_CHANNEL_TYPE_Credit_and_cash_offices_MEAN,71,1
PREV_CHANNEL_TYPE_Regional_Local_MEAN,8,1
PREV_CHANNEL_TYPE_Stone_MEAN,25,1
PREV_CHANNEL_TYPE_nan_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_Auto_technology_MEAN,9,1
PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,10,1
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,49,1
PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,11,1
PREV_NAME_SELLER_INDUSTRY_Consumer_electronics_MEAN,23,1
PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,8,1
PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,3,1
PREV_NAME_SELLER_INDUSTRY_Jewelry_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_MLM_partners_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_Tourism_MEAN,0,1
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,14,1
PREV_NAME_SELLER_INDUSTRY_nan_MEAN,0,1
PREV_NAME_YIELD_GROUP_XNA_MEAN,35,1
PREV_NAME_YIELD_GROUP_high_MEAN,82,1
PREV_NAME_YIELD_GROUP_low_action_MEAN,75,1
PREV_NAME_YIELD_GROUP_low_normal_MEAN,76,1
PREV_NAME_YIELD_GROUP_middle_MEAN,48,1
PREV_NAME_YIELD_GROUP_nan_MEAN,0,1
PREV_PRODUCT_COMBINATION_Card_Street_MEAN,7,1
PREV_PRODUCT_COMBINATION_Card_X_Sell_MEAN,13,1
PREV_PRODUCT_COMBINATION_Cash_MEAN,31,1
PREV_PRODUCT_COMBINATION_Cash_Street_high_MEAN,18,1
PREV_PRODUCT_COMBINATION_Cash_Street_low_MEAN,71,1
PREV_PRODUCT_COMBINATION_Cash_Street_middle_MEAN,6,1
PREV_PRODUCT_COMBINATION_Cash_X_Sell_high_MEAN,61,1
PREV_PRODUCT_COMBINATION_Cash_X_Sell_low_MEAN,54,1
PREV_PRODUCT_COMBINATION_Cash_X_Sell_middle_MEAN,20,1
PREV_PRODUCT_COMBINATION_POS_household_with_interest_MEAN,28,1
PREV_PRODUCT_COMBINATION_POS_household_without_interest_MEAN,13,1
PREV_PRODUCT_COMBINATION_POS_industry_with_interest_MEAN,27,1
PREV_PRODUCT_COMBINATION_POS_industry_without_interest_MEAN,9,1
PREV_PRODUCT_COMBINATION_POS_mobile_with_interest_MEAN,24,1
PREV_PRODUCT_COMBINATION_POS_mobile_without_interest_MEAN,2,1
PREV_PRODUCT_COMBINATION_POS_other_with_interest_MEAN,6,1
PREV_PRODUCT_COMBINATION_POS_others_without_interest_MEAN,0,1
PREV_PRODUCT_COMBINATION_nan_MEAN,0,1
APPROVED_AMT_ANNUITY_MIN,45,1
APPROVED_AMT_ANNUITY_MAX,49,1
APPROVED_AMT_ANNUITY_MEAN,73,1
APPROVED_AMT_APPLICATION_MIN,66,1
APPROVED_AMT_APPLICATION_MAX,47,1
APPROVED_AMT_APPLICATION_MEAN,44,1
APPROVED_AMT_CREDIT_MIN,59,1
APPROVED_AMT_CREDIT_MAX,66,1
APPROVED_AMT_CREDIT_MEAN,37,1
APPROVED_APP_CREDIT_PERC_MIN,66,1
APPROVED_APP_CREDIT_PERC_MAX,44,1
APPROVED_APP_CREDIT_PERC_MEAN,48,1
APPROVED_APP_CREDIT_PERC_VAR,103,1
APPROVED_AMT_DOWN_PAYMENT_MIN,28,1
APPROVED_AMT_DOWN_PAYMENT_MAX,74,1
APPROVED_AMT_DOWN_PAYMENT_MEAN,36,1
APPROVED_AMT_GOODS_PRICE_MIN,74,1
APPROVED_AMT_GOODS_PRICE_MAX,27,1
APPROVED_AMT_GOODS_PRICE_MEAN,39,1
APPROVED_HOUR_APPR_PROCESS_START_MIN,31,1
APPROVED_HOUR_APPR_PROCESS_START_MAX,39,1
APPROVED_HOUR_APPR_PROCESS_START_MEAN,63,1
APPROVED_RATE_DOWN_PAYMENT_MIN,20,1
APPROVED_RATE_DOWN_PAYMENT_MAX,40,1
APPROVED_RATE_DOWN_PAYMENT_MEAN,50,1
APPROVED_DAYS_DECISION_MIN,57,1
APPROVED_DAYS_DECISION_MAX,119,1
APPROVED_DAYS_DECISION_MEAN,47,1
APPROVED_CNT_PAYMENT_MEAN,95,1
APPROVED_CNT_PAYMENT_SUM,165,1
REFUSED_AMT_ANNUITY_MIN,47,1
REFUSED_AMT_ANNUITY_MAX,32,1
REFUSED_AMT_ANNUITY_MEAN,25,1
REFUSED_AMT_APPLICATION_MIN,14,1
REFUSED_AMT_APPLICATION_MAX,22,1
REFUSED_AMT_APPLICATION_MEAN,17,1
REFUSED_AMT_CREDIT_MIN,46,1
REFUSED_AMT_CREDIT_MAX,27,1
REFUSED_AMT_CREDIT_MEAN,25,1
REFUSED_APP_CREDIT_PERC_MIN,59,1
REFUSED_APP_CREDIT_PERC_MAX,24,1
REFUSED_APP_CREDIT_PERC_MEAN,35,1
REFUSED_APP_CREDIT_PERC_VAR,37,1
REFUSED_AMT_DOWN_PAYMENT_MIN,10,1
REFUSED_AMT_DOWN_PAYMENT_MAX,12,1
REFUSED_AMT_DOWN_PAYMENT_MEAN,13,1
REFUSED_AMT_GOODS_PRICE_MIN,35,1
REFUSED_AMT_GOODS_PRICE_MAX,17,1
REFUSED_AMT_GOODS_PRICE_MEAN,44,1
REFUSED_HOUR_APPR_PROCESS_START_MIN,38,1
REFUSED_HOUR_APPR_PROCESS_START_MAX,20,1
REFUSED_HOUR_APPR_PROCESS_START_MEAN,27,1
REFUSED_RATE_DOWN_PAYMENT_MIN,18,1
REFUSED_RATE_DOWN_PAYMENT_MAX,35,1
REFUSED_RATE_DOWN_PAYMENT_MEAN,10,1
REFUSED_DAYS_DECISION_MIN,54,1
REFUSED_DAYS_DECISION_MAX,100,1
REFUSED_DAYS_DECISION_MEAN,64,1
REFUSED_CNT_PAYMENT_MEAN,24,1
REFUSED_CNT_PAYMENT_SUM,21,1
POS_MONTHS_BALANCE_MAX,75,1
POS_MONTHS_BALANCE_MEAN,85,1
POS_MONTHS_BALANCE_SIZE,135,1
POS_SK_DPD_MAX,35,1
POS_SK_DPD_MEAN,47,1
POS_SK_DPD_DEF_MAX,45,1
POS_SK_DPD_DEF_MEAN,77,1
POS_SK_ID_PREV_MEAN,115,1
POS_CNT_INSTALMENT_MEAN,88,1
POS_CNT_INSTALMENT_FUTURE_MEAN,256,1
POS_NAME_CONTRACT_STATUS_Active_MEAN,73,1
POS_NAME_CONTRACT_STATUS_Amortized_debt_MEAN,0,1
POS_NAME_CONTRACT_STATUS_Approved_MEAN,17,1
POS_NAME_CONTRACT_STATUS_Canceled_MEAN,0,1
POS_NAME_CONTRACT_STATUS_Completed_MEAN,61,1
POS_NAME_CONTRACT_STATUS_Demand_MEAN,0,1
POS_NAME_CONTRACT_STATUS_Returned_to_the_store_MEAN,30,1
POS_NAME_CONTRACT_STATUS_Signed_MEAN,39,1
POS_NAME_CONTRACT_STATUS_XNA_MEAN,0,1
POS_NAME_CONTRACT_STATUS_nan_MEAN,0,1
POS_COUNT,16,1
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,37,1
INSTAL_DPD_MAX,38,1
INSTAL_DPD_MEAN,124,1
INSTAL_DPD_SUM,43,1
INSTAL_DBD_MAX,150,1
INSTAL_DBD_MEAN,110,1
INSTAL_DBD_SUM,175,1
INSTAL_PAYMENT_PERC_MAX,11,1
INSTAL_PAYMENT_PERC_MEAN,107,1
INSTAL_PAYMENT_PERC_SUM,80,1
INSTAL_PAYMENT_PERC_VAR,54,1
INSTAL_PAYMENT_DIFF_MAX,116,1
INSTAL_PAYMENT_DIFF_MEAN,122,1
INSTAL_PAYMENT_DIFF_SUM,93,1
INSTAL_PAYMENT_DIFF_VAR,65,1
INSTAL_AMT_INSTALMENT_MAX,88,1
INSTAL_AMT_INSTALMENT_MEAN,62,1
INSTAL_AMT_INSTALMENT_SUM,117,1
INSTAL_AMT_PAYMENT_MIN,116,1
INSTAL_AMT_PAYMENT_MAX,83,1
INSTAL_AMT_PAYMENT_MEAN,101,1
INSTAL_AMT_PAYMENT_SUM,214,1
INSTAL_DAYS_ENTRY_PAYMENT_MAX,222,1
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,57,1
INSTAL_DAYS_ENTRY_PAYMENT_SUM,95,1
INSTAL_SK_ID_PREV_MEAN,105,1
INSTAL_NUM_INSTALMENT_NUMBER_MEAN,108,1
INSTAL_DAYS_INSTALMENT_MEAN,53,1
INSTAL_COUNT,33,1
CC_MONTHS_BALANCE_MIN,2,1
CC_MONTHS_BALANCE_MAX,4,1
CC_MONTHS_BALANCE_MEAN,6,1
CC_MONTHS_BALANCE_SUM,14,1
CC_MONTHS_BALANCE_VAR,10,1
CC_AMT_BALANCE_MIN,16,1
CC_AMT_BALANCE_MAX,14,1
CC_AMT_BALANCE_MEAN,30,1
CC_AMT_BALANCE_SUM,6,1
CC_AMT_BALANCE_VAR,24,1
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,16,1
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,6,1
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,79,1
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,27,1
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,34,1
CC_AMT_DRAWINGS_ATM_CURRENT_MIN,1,1
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,21,1
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,12,1
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,36,1
CC_AMT_DRAWINGS_ATM_CURRENT_VAR,20,1
CC_AMT_DRAWINGS_CURRENT_MIN,11,1
CC_AMT_DRAWINGS_CURRENT_MAX,12,1
CC_AMT_DRAWINGS_CURRENT_MEAN,19,1
CC_AMT_DRAWINGS_CURRENT_SUM,10,1
CC_AMT_DRAWINGS_CURRENT_VAR,19,1
CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,0,1
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,2,1
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,5,1
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,3,1
CC_AMT_DRAWINGS_OTHER_CURRENT_VAR,1,1
CC_AMT_DRAWINGS_POS_CURRENT_MIN,2,1
CC_AMT_DRAWINGS_POS_CURRENT_MAX,9,1
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,12,1
CC_AMT_DRAWINGS_POS_CURRENT_SUM,30,1
CC_AMT_DRAWINGS_POS_CURRENT_VAR,14,1
CC_AMT_INST_MIN_REGULARITY_MIN,0,1
CC_AMT_INST_MIN_REGULARITY_MAX,4,1
CC_AMT_INST_MIN_REGULARITY_MEAN,6,1
CC_AMT_INST_MIN_REGULARITY_SUM,12,1
CC_AMT_INST_MIN_REGULARITY_VAR,27,1
CC_AMT_PAYMENT_CURRENT_MIN,25,1
CC_AMT_PAYMENT_CURRENT_MAX,26,1
CC_AMT_PAYMENT_CURRENT_MEAN,63,1
CC_AMT_PAYMENT_CURRENT_SUM,43,1
CC_AMT_PAYMENT_CURRENT_VAR,25,1
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,1,1
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,31,1
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,16,1
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,24,1
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,20,1
CC_AMT_RECEIVABLE_PRINCIPAL_MIN,14,1
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,13,1
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,18,1
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,16,1
CC_AMT_RECEIVABLE_PRINCIPAL_VAR,9,1
CC_AMT_RECIVABLE_MIN,27,1
CC_AMT_RECIVABLE_MAX,8,1
CC_AMT_RECIVABLE_MEAN,10,1
CC_AMT_RECIVABLE_SUM,8,1
CC_AMT_RECIVABLE_VAR,14,1
CC_AMT_TOTAL_RECEIVABLE_MIN,6,1
CC_AMT_TOTAL_RECEIVABLE_MAX,13,1
CC_AMT_TOTAL_RECEIVABLE_MEAN,3,1
CC_AMT_TOTAL_RECEIVABLE_SUM,4,1
CC_AMT_TOTAL_RECEIVABLE_VAR,2,1
CC_CNT_DRAWINGS_ATM_CURRENT_MIN,1,1
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,3,1
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,113,1
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,16,1
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,65,1
CC_CNT_DRAWINGS_CURRENT_MIN,1,1
CC_CNT_DRAWINGS_CURRENT_MAX,63,1
CC_CNT_DRAWINGS_CURRENT_MEAN,33,1
CC_CNT_DRAWINGS_CURRENT_SUM,14,1
CC_CNT_DRAWINGS_CURRENT_VAR,53,1
CC_CNT_DRAWINGS_OTHER_CURRENT_MIN,0,1
CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,0,1
CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,5,1
CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,5,1
CC_CNT_DRAWINGS_OTHER_CURRENT_VAR,12,1
CC_CNT_DRAWINGS_POS_CURRENT_MIN,18,1
CC_CNT_DRAWINGS_POS_CURRENT_MAX,9,1
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,38,1
CC_CNT_DRAWINGS_POS_CURRENT_SUM,14,1
CC_CNT_DRAWINGS_POS_CURRENT_VAR,21,1
CC_CNT_INSTALMENT_MATURE_CUM_MIN,2,1
CC_CNT_INSTALMENT_MATURE_CUM_MAX,4,1
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,9,1
CC_CNT_INSTALMENT_MATURE_CUM_SUM,8,1
CC_CNT_INSTALMENT_MATURE_CUM_VAR,6,1
CC_SK_DPD_MIN,0,1
CC_SK_DPD_MAX,0,1
CC_SK_DPD_MEAN,4,1
CC_SK_DPD_SUM,48,1
CC_SK_DPD_VAR,5,1
CC_SK_DPD_DEF_MIN,0,1
CC_SK_DPD_DEF_MAX,0,1
CC_SK_DPD_DEF_MEAN,32,1
CC_SK_DPD_DEF_SUM,0,1
CC_SK_DPD_DEF_VAR,13,1
CC_NAME_CONTRACT_STATUS_Active_MIN,0,1
CC_NAME_CONTRACT_STATUS_Active_MAX,0,1
CC_NAME_CONTRACT_STATUS_Active_MEAN,2,1
CC_NAME_CONTRACT_STATUS_Active_SUM,9,1
CC_NAME_CONTRACT_STATUS_Active_VAR,10,1
CC_NAME_CONTRACT_STATUS_Approved_MIN,0,1
CC_NAME_CONTRACT_STATUS_Approved_MAX,0,1
CC_NAME_CONTRACT_STATUS_Approved_MEAN,0,1
CC_NAME_CONTRACT_STATUS_Approved_SUM,0,1
CC_NAME_CONTRACT_STATUS_Approved_VAR,0,1
CC_NAME_CONTRACT_STATUS_Completed_MIN,0,1
CC_NAME_CONTRACT_STATUS_Completed_MAX,0,1
CC_NAME_CONTRACT_STATUS_Completed_MEAN,8,1
CC_NAME_CONTRACT_STATUS_Completed_SUM,1,1
CC_NAME_CONTRACT_STATUS_Completed_VAR,6,1
CC_NAME_CONTRACT_STATUS_Demand_MIN,0,1
CC_NAME_CONTRACT_STATUS_Demand_MAX,0,1
CC_NAME_CONTRACT_STATUS_Demand_MEAN,0,1
CC_NAME_CONTRACT_STATUS_Demand_SUM,0,1
CC_NAME_CONTRACT_STATUS_Demand_VAR,0,1
CC_NAME_CONTRACT_STATUS_Refused_MIN,0,1
CC_NAME_CONTRACT_STATUS_Refused_MAX,0,1
CC_NAME_CONTRACT_STATUS_Refused_MEAN,0,1
CC_NAME_CONTRACT_STATUS_Refused_SUM,0,1
CC_NAME_CONTRACT_STATUS_Refused_VAR,0,1
CC_NAME_CONTRACT_STATUS_Sent_proposal_MIN,0,1
CC_NAME_CONTRACT_STATUS_Sent_proposal_MAX,0,1
CC_NAME_CONTRACT_STATUS_Sent_proposal_MEAN,20,1
CC_NAME_CONTRACT_STATUS_Sent_proposal_SUM,0,1
CC_NAME_CONTRACT_STATUS_Sent_proposal_VAR,2,1
CC_NAME_CONTRACT_STATUS_Signed_MIN,0,1
CC_NAME_CONTRACT_STATUS_Signed_MAX,0,1
CC_NAME_CONTRACT_STATUS_Signed_MEAN,0,1
CC_NAME_CONTRACT_STATUS_Signed_SUM,0,1
CC_NAME_CONTRACT_STATUS_Signed_VAR,8,1
CC_NAME_CONTRACT_STATUS_nan_MIN,0,1
CC_NAME_CONTRACT_STATUS_nan_MAX,0,1
CC_NAME_CONTRACT_STATUS_nan_MEAN,0,1
CC_NAME_CONTRACT_STATUS_nan_SUM,0,1
CC_NAME_CONTRACT_STATUS_nan_VAR,0,1
CC_COUNT,3,1
DEBT_INCOME_RATIO,79,1
CURR_PREV_CREDIT_RATIO,104,1
CREDIT_GOODS_PRICE_RATIO,286,1
COMBINED_DPD_MEAN,109,1
CC_UTILIZATION_INCOME,34,1
CODE_GENDER,127,2
FLAG_OWN_CAR,6,2
FLAG_OWN_REALTY,3,2
CNT_CHILDREN,3,2
AMT_INCOME_TOTAL,111,2
AMT_CREDIT,109,2
AMT_ANNUITY,340,2
AMT_GOODS_PRICE,170,2
REGION_POPULATION_RELATIVE,227,2
DAYS_BIRTH,425,2
DAYS_EMPLOYED,262,2
DAYS_REGISTRATION,167,2
DAYS_ID_PUBLISH,259,2
OWN_CAR_AGE,182,2
FLAG_MOBIL,0,2
FLAG_EMP_PHONE,0,2
FLAG_WORK_PHONE,63,2
FLAG_CONT_MOBILE,0,2
FLAG_PHONE,15,2
FLAG_EMAIL,0,2
CNT_FAM_MEMBERS,12,2
REGION_RATING_CLIENT,2,2
REGION_RATING_CLIENT_W_CITY,86,2
HOUR_APPR_PROCESS_START,73,2
REG_REGION_NOT_LIVE_REGION,8,2
REG_REGION_NOT_WORK_REGION,4,2
LIVE_REGION_NOT_WORK_REGION,7,2
REG_CITY_NOT_LIVE_CITY,46,2
REG_CITY_NOT_WORK_CITY,2,2
LIVE_CITY_NOT_WORK_CITY,16,2
EXT_SOURCE_1,595,2
EXT_SOURCE_2,455,2
EXT_SOURCE_3,601,2
APARTMENTS_AVG,35,2
BASEMENTAREA_AVG,30,2
YEARS_BEGINEXPLUATATION_AVG,27,2
YEARS_BUILD_AVG,16,2
COMMONAREA_AVG,25,2
ELEVATORS_AVG,18,2
ENTRANCES_AVG,13,2
FLOORSMAX_AVG,15,2
FLOORSMIN_AVG,16,2
LANDAREA_AVG,42,2
LIVINGAPARTMENTS_AVG,22,2
LIVINGAREA_AVG,27,2
NONLIVINGAPARTMENTS_AVG,19,2
NONLIVINGAREA_AVG,29,2
APARTMENTS_MODE,35,2
BASEMENTAREA_MODE,37,2
YEARS_BEGINEXPLUATATION_MODE,26,2
YEARS_BUILD_MODE,14,2
COMMONAREA_MODE,24,2
ELEVATORS_MODE,10,2
ENTRANCES_MODE,16,2
FLOORSMAX_MODE,7,2
FLOORSMIN_MODE,12,2
LANDAREA_MODE,37,2
LIVINGAPARTMENTS_MODE,23,2
LIVINGAREA_MODE,46,2
NONLIVINGAPARTMENTS_MODE,15,2
NONLIVINGAREA_MODE,10,2
APARTMENTS_MEDI,28,2
BASEMENTAREA_MEDI,11,2
YEARS_BEGINEXPLUATATION_MEDI,52,2
YEARS_BUILD_MEDI,23,2
COMMONAREA_MEDI,32,2
ELEVATORS_MEDI,4,2
ENTRANCES_MEDI,14,2
FLOORSMAX_MEDI,6,2
FLOORSMIN_MEDI,6,2
LANDAREA_MEDI,24,2
LIVINGAPARTMENTS_MEDI,27,2
LIVINGAREA_MEDI,15,2
NONLIVINGAPARTMENTS_MEDI,8,2
NONLIVINGAREA_MEDI,12,2
TOTALAREA_MODE,48,2
OBS_30_CNT_SOCIAL_CIRCLE,37,2
DEF_30_CNT_SOCIAL_CIRCLE,52,2
OBS_60_CNT_SOCIAL_CIRCLE,34,2
DEF_60_CNT_SOCIAL_CIRCLE,56,2
DAYS_LAST_PHONE_CHANGE,172,2
FLAG_DOCUMENT_2,0,2
FLAG_DOCUMENT_3,25,2
FLAG_DOCUMENT_4,0,2
FLAG_DOCUMENT_5,0,2
FLAG_DOCUMENT_6,7,2
FLAG_DOCUMENT_7,0,2
FLAG_DOCUMENT_8,28,2
FLAG_DOCUMENT_9,0,2
FLAG_DOCUMENT_10,0,2
FLAG_DOCUMENT_11,13,2
FLAG_DOCUMENT_12,0,2
FLAG_DOCUMENT_13,11,2
FLAG_DOCUMENT_14,0,2
FLAG_DOCUMENT_15,0,2
FLAG_DOCUMENT_16,10,2
FLAG_DOCUMENT_17,0,2
FLAG_DOCUMENT_18,40,2
FLAG_DOCUMENT_19,0,2
FLAG_DOCUMENT_20,0,2
FLAG_DOCUMENT_21,0,2
AMT_REQ_CREDIT_BUREAU_HOUR,0,2
AMT_REQ_CREDIT_BUREAU_DAY,9,2
AMT_REQ_CREDIT_BUREAU_WEEK,7,2
AMT_REQ_CREDIT_BUREAU_MON,18,2
AMT_REQ_CREDIT_BUREAU_QRT,43,2
AMT_REQ_CREDIT_BUREAU_YEAR,39,2
NAME_CONTRACT_TYPE_Cash_loans,26,2
NAME_CONTRACT_TYPE_Revolving_loans,5,2
NAME_TYPE_SUITE_Children,0,2
NAME_TYPE_SUITE_Family,3,2
NAME_TYPE_SUITE_Group_of_people,0,2
NAME_TYPE_SUITE_Other_A,0,2
NAME_TYPE_SUITE_Other_B,0,2
NAME_TYPE_SUITE_Spouse_partner,8,2
NAME_TYPE_SUITE_Unaccompanied,5,2
NAME_INCOME_TYPE_Businessman,0,2
NAME_INCOME_TYPE_Commercial_associate,6,2
NAME_INCOME_TYPE_Maternity_leave,0,2
NAME_INCOME_TYPE_Pensioner,0,2
NAME_INCOME_TYPE_State_servant,28,2
NAME_INCOME_TYPE_Student,0,2
NAME_INCOME_TYPE_Unemployed,0,2
NAME_INCOME_TYPE_Working,12,2
NAME_EDUCATION_TYPE_Academic_degree,0,2
NAME_EDUCATION_TYPE_Higher_education,49,2
NAME_EDUCATION_TYPE_Incomplete_higher,7,2
NAME_EDUCATION_TYPE_Lower_secondary,1,2
NAME_EDUCATION_TYPE_Secondary_secondary_special,16,2
NAME_FAMILY_STATUS_Civil_marriage,10,2
NAME_FAMILY_STATUS_Married,90,2
NAME_FAMILY_STATUS_Separated,1,2
NAME_FAMILY_STATUS_Single_not_married,3,2
NAME_FAMILY_STATUS_Unknown,0,2
NAME_FAMILY_STATUS_Widow,8,2
NAME_HOUSING_TYPE_Co_op_apartment,0,2
NAME_HOUSING_TYPE_House_apartment,8,2
NAME_HOUSING_TYPE_Municipal_apartment,17,2
NAME_HOUSING_TYPE_Office_apartment,21,2
NAME_HOUSING_TYPE_Rented_apartment,2,2
NAME_HOUSING_TYPE_With_parents,0,2
OCCUPATION_TYPE_Accountants,9,2
OCCUPATION_TYPE_Cleaning_staff,2,2
OCCUPATION_TYPE_Cooking_staff,0,2
OCCUPATION_TYPE_Core_staff,37,2
OCCUPATION_TYPE_Drivers,27,2
OCCUPATION_TYPE_HR_staff,0,2
OCCUPATION_TYPE_High_skill_tech_staff,17,2
OCCUPATION_TYPE_IT_staff,0,2
OCCUPATION_TYPE_Laborers,4,2
OCCUPATION_TYPE_Low_skill_Laborers,6,2
OCCUPATION_TYPE_Managers,0,2
OCCUPATION_TYPE_Medicine_staff,19,2
OCCUPATION_TYPE_Private_service_staff,0,2
OCCUPATION_TYPE_Realty_agents,0,2
OCCUPATION_TYPE_Sales_staff,2,2
OCCUPATION_TYPE_Secretaries,0,2
OCCUPATION_TYPE_Security_staff,0,2
OCCUPATION_TYPE_Waiters_barmen_staff,0,2
WEEKDAY_APPR_PROCESS_START_FRIDAY,10,2
WEEKDAY_APPR_PROCESS_START_MONDAY,21,2
WEEKDAY_APPR_PROCESS_START_SATURDAY,5,2
WEEKDAY_APPR_PROCESS_START_SUNDAY,6,2
WEEKDAY_APPR_PROCESS_START_THURSDAY,5,2
WEEKDAY_APPR_PROCESS_START_TUESDAY,5,2
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,14,2
ORGANIZATION_TYPE_Advertising,0,2
ORGANIZATION_TYPE_Agriculture,0,2
ORGANIZATION_TYPE_Bank,6,2
ORGANIZATION_TYPE_Business_Entity_Type_1,0,2
ORGANIZATION_TYPE_Business_Entity_Type_2,0,2
ORGANIZATION_TYPE_Business_Entity_Type_3,39,2
ORGANIZATION_TYPE_Cleaning,0,2
ORGANIZATION_TYPE_Construction,47,2
ORGANIZATION_TYPE_Culture,0,2
ORGANIZATION_TYPE_Electricity,0,2
ORGANIZATION_TYPE_Emergency,0,2
ORGANIZATION_TYPE_Government,6,2
ORGANIZATION_TYPE_Hotel,0,2
ORGANIZATION_TYPE_Housing,0,2
ORGANIZATION_TYPE_Industry_type_1,0,2
ORGANIZATION_TYPE_Industry_type_10,0,2
ORGANIZATION_TYPE_Industry_type_11,1,2
ORGANIZATION_TYPE_Industry_type_12,2,2
ORGANIZATION_TYPE_Industry_type_13,0,2
ORGANIZATION_TYPE_Industry_type_2,0,2
ORGANIZATION_TYPE_Industry_type_3,1,2
ORGANIZATION_TYPE_Industry_type_4,0,2
ORGANIZATION_TYPE_Industry_type_5,0,2
ORGANIZATION_TYPE_Industry_type_6,0,2
ORGANIZATION_TYPE_Industry_type_7,0,2
ORGANIZATION_TYPE_Industry_type_8,0,2
ORGANIZATION_TYPE_Industry_type_9,27,2
ORGANIZATION_TYPE_Insurance,0,2
ORGANIZATION_TYPE_Kindergarten,8,2
ORGANIZATION_TYPE_Legal_Services,0,2
ORGANIZATION_TYPE_Medicine,2,2
